Index,X,Y
300,2076250,368500
301,2076500,368500
302,2076750,368500
303,2077000,368500
304,2077250,368500
305,2077500,368500
306,2077750,368500
307,2078000,368500
308,2078250,368500
309,2078500,368500
310,2078750,368500
311,2079000,368500
312,2079250,368500
313,2079500,368500
314,2079750,368500
315,2080000,368500
316,2080250,368500
317,2080500,368500
318,2080750,368500
319,2081000,368500
320,2081250,368500
321,2081500,368500
322,2081750,368500
323,2082000,368500
324,2082250,368500
325,2082500,368500
326,2082750,368500
327,2083000,368500
328,2083250,368500
329,2083500,368500
330,2083750,368500
331,2084000,368500
332,2084250,368500
333,2070750,368250
334,2071000,368250
335,2071250,368250
336,2071500,368250
337,2071750,368250
338,2072000,368250
339,2072250,368250
340,2072500,368250
341,2072750,368250
342,2073000,368250
343,2073250,368250
344,2073500,368250
345,2073750,368250
346,2074000,368250
347,2074250,368250
348,2074500,368250
349,2074750,368250
350,2075000,368250
351,2075250,368250
352,2075500,368250
353,2075750,368250
354,2076000,368250
355,2076250,368250
356,2076500,368250
357,2076750,368250
358,2077000,368250
359,2077250,368250
360,2077500,368250
361,2077750,368250
362,2078000,368250
363,2078250,368250
364,2078500,368250
365,2078750,368250
366,2079000,368250
367,2079250,368250
368,2079500,368250
369,2079750,368250
370,2080000,368250
371,2080250,368250
372,2080500,368250
373,2080750,368250
374,2081000,368250
375,2081250,368250
376,2081500,368250
377,2081750,368250
378,2082000,368250
379,2082250,368250
380,2082500,368250
381,2082750,368250
382,2083000,368250
383,2083250,368250
384,2083500,368250
385,2083750,368250
386,2084000,368250
387,2084250,368250
388,2070750,368000
389,2071000,368000
390,2071250,368000
391,2071500,368000
392,2071750,368000
393,2072000,368000
394,2072250,368000
395,2072500,368000
396,2072750,368000
397,2073000,368000
398,2073250,368000
399,2073500,368000
400,2073750,368000
401,2074000,368000
402,2074250,368000
403,2074500,368000
404,2074750,368000
405,2075000,368000
406,2075250,368000
407,2075500,368000
408,2075750,368000
409,2076000,368000
410,2076250,368000
411,2076500,368000
412,2076750,368000
413,2077000,368000
414,2077250,368000
415,2077500,368000
416,2077750,368000
417,2078000,368000
418,2078250,368000
419,2078500,368000
420,2078750,368000
421,2079000,368000
422,2079250,368000
423,2079500,368000
424,2079750,368000
425,2080000,368000
426,2080250,368000
427,2080500,368000
428,2080750,368000
429,2081000,368000
430,2081250,368000
431,2081500,368000
432,2081750,368000
433,2082000,368000
434,2082250,368000
435,2082500,368000
436,2082750,368000
437,2083000,368000
438,2083250,368000
439,2083500,368000
440,2083750,368000
441,2084000,368000
442,2084250,368000
443,2070750,367750
444,2071000,367750
445,2071250,367750
446,2071500,367750
447,2071750,367750
448,2072000,367750
449,2072250,367750
450,2072500,367750
451,2072750,367750
452,2073000,367750
453,2073250,367750
454,2073500,367750
455,2073750,367750
456,2074000,367750
457,2074250,367750
458,2074500,367750
459,2074750,367750
460,2075000,367750
461,2075250,367750
462,2075500,367750
463,2075750,367750
464,2076000,367750
465,2076250,367750
466,2076500,367750
467,2076750,367750
468,2077000,367750
469,2077250,367750
470,2077500,367750
471,2077750,367750
472,2078000,367750
473,2078250,367750
474,2078500,367750
475,2078750,367750
476,2079000,367750
477,2079250,367750
478,2079500,367750
479,2079750,367750
480,2080000,367750
481,2080250,367750
482,2080500,367750
483,2080750,367750
484,2081000,367750
485,2081250,367750
486,2081500,367750
487,2081750,367750
488,2082000,367750
489,2082250,367750
490,2082500,367750
491,2082750,367750
492,2083000,367750
493,2083250,367750
494,2083500,367750
495,2083750,367750
496,2084000,367750
497,2084250,367750
498,2070750,367500
499,2071000,367500
500,2071250,367500
501,2071500,367500
502,2071750,367500
503,2072000,367500
504,2072250,367500
505,2072500,367500
506,2072750,367500
507,2073000,367500
508,2073250,367500
509,2073500,367500
510,2073750,367500
511,2074000,367500
512,2074250,367500
513,2074500,367500
514,2074750,367500
515,2075000,367500
516,2075250,367500
517,2075500,367500
518,2075750,367500
519,2076000,367500
520,2076250,367500
521,2076500,367500
522,2076750,367500
523,2077000,367500
524,2077250,367500
525,2077500,367500
526,2077750,367500
527,2078000,367500
528,2078250,367500
529,2078500,367500
530,2078750,367500
531,2079000,367500
532,2079250,367500
533,2079500,367500
534,2079750,367500
535,2080000,367500
536,2080250,367500
537,2080500,367500
538,2080750,367500
539,2081000,367500
540,2081250,367500
541,2081500,367500
542,2081750,367500
543,2082000,367500
544,2082250,367500
545,2082500,367500
546,2082750,367500
547,2083000,367500
548,2083250,367500
549,2083500,367500
550,2083750,367500
551,2084000,367500
552,2084250,367500
553,2070750,367250
554,2071000,367250
555,2071250,367250
556,2071500,367250
557,2071750,367250
558,2072000,367250
559,2072250,367250
560,2072500,367250
561,2072750,367250
562,2073000,367250
563,2073250,367250
564,2073500,367250
565,2073750,367250
566,2074000,367250
567,2074250,367250
568,2074500,367250
569,2074750,367250
570,2075000,367250
571,2075250,367250
572,2075500,367250
573,2075750,367250
574,2076000,367250
575,2076250,367250
576,2076500,367250
577,2076750,367250
578,2077000,367250
579,2077250,367250
580,2077500,367250
581,2077750,367250
582,2078000,367250
583,2078250,367250
584,2078500,367250
585,2078750,367250
586,2079000,367250
587,2079250,367250
588,2079500,367250
589,2079750,367250
590,2080000,367250
591,2080250,367250
592,2080500,367250
593,2080750,367250
594,2081000,367250
595,2081250,367250
596,2081500,367250
597,2081750,367250
598,2082000,367250
599,2082250,367250
600,2082500,367250
601,2082750,367250
602,2083000,367250
603,2083250,367250
604,2083500,367250
605,2083750,367250
606,2084000,367250
607,2084250,367250
608,2070500,367000
609,2070750,367000
610,2071000,367000
611,2071250,367000
612,2071500,367000
613,2071750,367000
614,2072000,367000
615,2072250,367000
616,2072500,367000
617,2072750,367000
618,2073000,367000
619,2073250,367000
620,2073500,367000
621,2073750,367000
622,2074000,367000
623,2074250,367000
624,2074500,367000
625,2074750,367000
626,2075000,367000
627,2075250,367000
628,2075500,367000
629,2075750,367000
630,2076000,367000
631,2076250,367000
632,2076500,367000
633,2076750,367000
634,2077000,367000
635,2077250,367000
636,2077500,367000
637,2077750,367000
638,2078000,367000
639,2078250,367000
640,2078500,367000
641,2078750,367000
642,2079000,367000
643,2079250,367000
644,2079500,367000
645,2079750,367000
646,2080000,367000
647,2080250,367000
648,2080500,367000
649,2080750,367000
650,2081000,367000
651,2081250,367000
652,2081500,367000
653,2081750,367000
654,2082000,367000
655,2082250,367000
656,2082500,367000
657,2082750,367000
658,2083000,367000
659,2083250,367000
660,2083500,367000
661,2083750,367000
662,2084000,367000
663,2084250,367000
664,2070250,366750
665,2070500,366750
666,2070750,366750
667,2071000,366750
668,2071250,366750
669,2071500,366750
670,2071750,366750
671,2072000,366750
672,2072250,366750
673,2072500,366750
674,2072750,366750
675,2073000,366750
676,2073250,366750
677,2073500,366750
678,2073750,366750
679,2074000,366750
680,2074250,366750
681,2074500,366750
682,2074750,366750
683,2075000,366750
684,2075250,366750
685,2075500,366750
686,2075750,366750
687,2076000,366750
688,2076250,366750
689,2076500,366750
690,2076750,366750
691,2077000,366750
692,2077250,366750
693,2077500,366750
694,2077750,366750
695,2078000,366750
696,2078250,366750
697,2078500,366750
698,2078750,366750
699,2079000,366750
700,2079250,366750
701,2079500,366750
702,2079750,366750
703,2080000,366750
704,2080250,366750
705,2080500,366750
706,2080750,366750
707,2081000,366750
708,2081250,366750
709,2081500,366750
710,2081750,366750
711,2082000,366750
712,2082250,366750
713,2082500,366750
714,2082750,366750
715,2083000,366750
716,2083250,366750
717,2083500,366750
718,2083750,366750
719,2084000,366750
720,2084250,366750
721,2070250,366500
722,2070500,366500
723,2070750,366500
724,2071000,366500
725,2071250,366500
