Index,X,Y
86,2046187.283,327089.2313
87,2046758.138,326939.499
88,2047497.441,326958.2156
89,2047955.996,327407.4124
90,2048096.37,327968.9085
91,2047899.846,328492.9715
92,2047516.157,328970.2432
93,2047132.468,329222.9164
94,2046187.283,329550.4558
95,2045691.295,330149.3849
96,2045607.071,330851.255
97,2045251.457,331337.8849
98,2044708.677,331525.0503
99,2044240.764,331553.1251
100,2044100.39,331609.2747
101,2043894.508,332488.9519
102,2043791.567,332835.2078
103,2043847.716,333087.881
104,2044521.512,333509.0031
105,2044764.827,333593.2275
106,2045373.114,333574.511
107,2045841.028,333527.7196
108,2046168.567,333714.885
109,2046477.39,334004.9913
110,2046692.63,334042.4244
111,2047104.394,333789.7511
112,2047525.516,333527.7196
113,2048461.343,333471.57
114,2049181.929,333518.3614
115,2050248.772,333527.7196
116,2050688.61,333696.1685
117,2050988.075,333808.4677
118,2051062.941,334014.3496
119,2050716.685,334444.8299
120,2050155.189,334603.9204
121,2049312.945,334959.5346
122,2048985.406,334819.1606
123,2048751.449,334716.2197
124,2048545.567,334529.0543
125,2048433.268,334538.4126
126,2047815.622,335053.1173
127,2047581.665,335277.7157
128,2047506.799,335521.0307
129,2047534.874,335652.0464
130,2047722.039,335829.8535
131,2047778.189,335988.9441
132,2047722.039,336138.6764
133,2047619.098,336250.9756
134,2047488.083,336269.6921
135,2047366.425,336269.6921
136,2047216.693,336204.1843
137,2046992.094,336110.6016
138,2046701.988,335951.511
139,2046383.807,335811.137
140,2046252.791,335736.2709
141,2046121.776,335773.7039
142,2046000.118,335960.8693
143,2045887.819,336250.9756
144,2045897.177,336475.574
145,2045822.311,336662.7394
146,2045644.504,336803.1134
147,2045373.114,336943.4874
148,2045223.382,336990.2788
149,2044839.693,337008.9953
150,2044409.213,337111.9362
151,2044156.539,337186.8024
152,2043857.075,337242.952
153,2043651.193,337373.9677
154,2043538.894,337495.6252
155,2043464.027,337729.5819
156,2043482.744,338113.2709
157,2043538.894,338263.0032
158,2043838.358,338412.7355
159,2044193.972,338515.6764
160,2044278.197,338646.6922
161,2044222.047,338749.6331
