Index,X,Y
510,2084125,367875
511,2084348.716,367875
512,2070875,367625
513,2070623.274,367625
514,2071125,367625
515,2071375,367625
516,2071625,367625
517,2071875,367625
518,2072125,367625
519,2072375,367625
520,2072625,367625
521,2072875,367625
522,2073125,367625
523,2073375,367625
524,2073625,367625
525,2073875,367625
526,2074125,367625
527,2074375,367625
528,2074625,367625
529,2074875,367625
530,2075125,367625
531,2075375,367625
532,2075625,367625
533,2075875,367625
534,2076125,367625
535,2076375,367625
536,2076625,367625
537,2076875,367625
538,2077125,367625
539,2077375,367625
540,2077625,367625
541,2077875,367625
542,2078125,367625
543,2078375,367625
544,2078625,367625
545,2078875,367625
546,2079125,367625
547,2079375,367625
548,2079625,367625
549,2079875,367625
550,2080125,367625
551,2080375,367625
552,2080625,367625
553,2080875,367625
554,2081125,367625
555,2081375,367625
556,2081625,367625
557,2081875,367625
558,2082125,367625
559,2082375,367625
560,2082625,367625
561,2082875,367625
562,2083125,367625
563,2083375,367625
564,2083625,367625
565,2083875,367625
566,2084125,367625
567,2084355.473,367625
568,2070875,367375
569,2070594.427,367375
570,2071125,367375
571,2071375,367375
572,2071625,367375
573,2071875,367375
574,2072125,367375
575,2072375,367375
576,2072625,367375
577,2072875,367375
578,2073125,367375
579,2073375,367375
580,2073625,367375
581,2073875,367375
582,2074125,367375
583,2074375,367375
584,2074625,367375
585,2074875,367375
586,2075125,367375
587,2075375,367375
588,2075625,367375
589,2075875,367375
590,2076125,367375
591,2076375,367375
592,2076625,367375
593,2076875,367375
594,2077125,367375
595,2077375,367375
596,2077625,367375
597,2077875,367375
598,2078125,367375
599,2078375,367375
600,2078625,367375
601,2078875,367375
602,2079125,367375
603,2079375,367375
604,2079625,367375
605,2079875,367375
606,2080125,367375
607,2080375,367375
608,2080625,367375
609,2080875,367375
610,2081125,367375
611,2081375,367375
612,2081625,367375
613,2081875,367375
614,2082125,367375
615,2082375,367375
616,2082625,367375
617,2082875,367375
618,2083125,367375
619,2083375,367375
620,2083625,367375
621,2083875,367375
622,2084125,367375
623,2084362.23,367375
624,2070875,367125
625,2070504.795,367245.2046
626,2070625,367125
627,2071125,367125
628,2071375,367125
629,2071625,367125
630,2071875,367125
631,2072125,367125
632,2072375,367125
633,2072625,367125
634,2072875,367125
635,2073125,367125
636,2073375,367125
637,2073625,367125
638,2073875,367125
639,2074125,367125
640,2074375,367125
641,2074625,367125
642,2074875,367125
643,2075125,367125
644,2075375,367125
645,2075625,367125
646,2075875,367125
647,2076125,367125
648,2076375,367125
649,2076625,367125
650,2076875,367125
651,2077125,367125
652,2077375,367125
653,2077625,367125
654,2077875,367125
655,2078125,367125
656,2078375,367125
657,2078625,367125
658,2078875,367125
659,2079125,367125
660,2079375,367125
661,2079625,367125
662,2079875,367125
663,2080125,367125
664,2080375,367125
665,2080625,367125
666,2080875,367125
667,2081125,367125
668,2081375,367125
669,2081625,367125
670,2081875,367125
671,2082125,367125
672,2082375,367125
673,2082625,367125
674,2082875,367125
675,2083125,367125
676,2083375,367125
677,2083625,367125
678,2083875,367125
679,2084125,367125
680,2084368.987,367125
681,2070295.118,366954.882
682,2070375,366875
683,2070625,366875
684,2070875,366875
685,2071125,366875
686,2071375,366875
687,2071625,366875
688,2071875,366875
689,2072125,366875
690,2072375,366875
691,2072625,366875
692,2072875,366875
693,2073125,366875
694,2073375,366875
695,2073625,366875
696,2073875,366875
697,2074125,366875
698,2074375,366875
699,2074625,366875
700,2074875,366875
701,2075125,366875
702,2075375,366875
703,2075625,366875
704,2075875,366875
705,2076125,366875
706,2076375,366875
707,2076625,366875
708,2076875,366875
709,2077125,366875
710,2077375,366875
711,2077625,366875
712,2077875,366875
713,2078125,366875
714,2078375,366875
715,2078625,366875
716,2078875,366875
717,2079125,366875
718,2079375,366875
719,2079625,366875
720,2079875,366875
721,2080125,366875
722,2080375,366875
723,2080625,366875
724,2080875,366875
725,2081125,366875
726,2081375,366875
727,2081625,366875
728,2081875,366875
729,2082125,366875
730,2082375,366875
731,2082625,366875
732,2082875,366875
733,2083125,366875
734,2083375,366875
735,2083625,366875
736,2083875,366875
737,2084125,366875
738,2084375.744,366875
739,2070039.77,366625
740,2070375,366625
741,2070625,366625
742,2070875,366625
743,2071125,366625
744,2071375,366625
745,2071625,366625
746,2071875,366625
747,2072125,366625
748,2072375,366625
749,2072625,366625
750,2072875,366625
751,2073125,366625
752,2073375,366625
753,2073625,366625
754,2073875,366625
755,2074125,366625
756,2074375,366625
757,2074625,366625
758,2074875,366625
759,2075125,366625
760,2075375,366625
761,2075625,366625
762,2075875,366625
763,2076125,366625
764,2076375,366625
765,2076625,366625
766,2076875,366625
767,2077125,366625
768,2077375,366625
769,2077625,366625
770,2077875,366625
771,2078125,366625
772,2078375,366625
773,2078625,366625
774,2078875,366625
775,2079125,366625
776,2079375,366625
777,2079625,366625
778,2079875,366625
779,2080125,366625
780,2080375,366625
781,2080625,366625
782,2080875,366625
783,2081125,366625
784,2081375,366625
785,2081625,366625
786,2081875,366625
787,2082125,366625
788,2082375,366625
789,2082625,366625
790,2082875,366625
791,2083125,366625
792,2083375,366625
793,2083625,366625
794,2083875,366625
795,2084125,366625
796,2084382.5,366625
797,2070375,366375
798,2069958.703,366541.297
799,2070125,366375
800,2070625,366375
801,2070875,366375
802,2071125,366375
803,2071375,366375
804,2071625,366375
805,2071875,366375
806,2072125,366375
807,2072375,366375
808,2072625,366375
809,2072875,366375
810,2073125,366375
811,2073375,366375
812,2073625,366375
813,2073875,366375
814,2074125,366375
