Index,X,Y
72,2058193.941,357336.1655
73,2062788.851,357757.2875
74,2056528.169,357495.256
75,2058811.587,357392.3151
76,2056883.784,356437.7718
77,2056893.142,357074.134
78,2056958.65,356802.7442
79,2056350.362,355932.4253
80,2059887.788,357457.823
81,2058006.776,357504.6143
82,2076461.28,357101.1965
83,2074748.717,355940.7712
84,2075366.363,356895.3146
85,2042790.232,352516.6575
86,2051699.303,356596.8623
87,2046861.079,352788.0473
88,2052288.874,356400.3387
89,2052335.665,356016.6497
90,2048289.63,355868.4068
91,2048361.088,355773.1289
92,2048103.044,356122.481
93,2048110.984,356122.481
94,2048122.894,356118.511
95,2048136.789,356110.5712
96,2048156.638,356080.7969
97,2048220.157,355985.5191
98,2051502.78,356390.9804
99,2043894.508,353031.3623
100,2048410.712,355723.5051
101,2048535.764,355632.1972
102,2055405.177,355558.0946
103,2054525.5,355492.5867
104,2047740.756,354229.2205
105,2048087.012,354154.3544
106,2047955.996,353134.3032
107,2045560.279,355473.8702
108,2049214.619,355330.484
109,2049047.883,355366.2132
110,2053524.165,355455.1536
111,2052476.039,355735.9017
112,2048938.71,355395.9876
113,2048837.478,355441.6415
114,2048738.23,355501.1901
115,2048638.982,355564.7087
116,2049454.798,355274.9053
117,2051505.257,354679.4189
118,2051431.813,354703.2384
119,2051306.761,354754.8472
120,2051211.483,354798.5162
121,2052897.162,355473.8702
122,2046505.465,354977.882
123,2047029.528,354276.0119
124,2050977.259,354939.448
125,2051108.266,354852.11
126,2050594.162,355090.3045
127,2050089.984,355169.7027
128,2049788.271,355217.3416
129,2049615.58,355241.1611
130,2050357.953,355126.0337
131,2050887.936,354995.0267
132,2050836.327,355024.801
133,2050747.004,355060.5302
134,2050723.184,355066.4851
135,2047328.992,354173.0709
136,2048330.327,353873.6064
137,2048470.701,353630.2914
138,2052598.967,354437.2545
139,2052696.229,354399.5403
140,2052463.99,354472.9836
141,2060405.793,353909.2565
142,2060518.936,353873.5273
143,2060612.229,353811.9937
144,2070958.619,354593.1807
145,2052860.981,354330.0669
146,2051767.271,354615.9004
147,2051600.534,354653.6145
148,2052001.495,354566.2765
149,2053388.979,354095.8423
150,2053218.272,354137.5263
151,2053170.634,354169.2856
152,2058565.74,354232.8041
153,2056318.772,353788.1743
154,2056068.667,353766.3398
155,2055957.51,353760.3849
156,2059496.684,354349.9164
157,2059369.647,354343.9616
158,2058279.907,354191.1201
159,2058095.306,354163.3307
160,2059149.317,354316.1722
161,2058839.664,354272.5032
162,2059591.962,354324.112
163,2059683.27,354274.4882
164,2057023.431,353909.2565
165,2057325.144,353992.6246
166,2054270.298,353974.76
167,2056781.266,353853.6778
168,2057996.058,354147.4511
169,2060056.441,354008.5042
170,2060139.809,353966.8202
171,2059867.871,354141.4962
172,2059770.608,354210.9696
173,2060634.063,353788.1743
174,2060689.642,353702.8212
175,2060721.401,353603.5735
176,2068881.083,353807.0862
177,2055121.844,353859.6327
178,2055548.609,353802.069
179,2055322.324,353829.8583
180,2055810.623,353774.2796
181,2056578.801,353819.9336
182,2048433.268,353368.2599
183,2060721.401,353500.3559
184,2060689.642,353405.078
185,2067496.059,353348.531
186,2066167.185,352693.4523
187,2044165.898,353050.0788
188,2044568.303,352759.9725
189,2041133.819,351777.3544
190,2045672.579,352376.2835
191,2060302.576,352150.5867
192,2065034.835,352197.4641
193,2038008.157,351318.7992
194,2060316.47,351836.9639
195,2060316.47,351930.2567
196,2060314.485,351987.8204
197,2061061.06,351774.9562
198,2061083.122,351764.5582
199,2061063.703,351664.1781
200,2061061.849,351663.4587
201,2059940.615,351556.301
202,2060043.218,351563.9313
203,2060144.901,351569.9407
204,2059840.541,351550.4206
205,2059739.16,351544.7006
206,2060549.973,351596.167
207,2060448.614,351589.1576
208,2061048.719,351641.4609
209,2061044.033,351635.0984
210,2061027.602,351627.5952
211,2058515.367,351471.2749
212,2058618.274,351476.9191
213,2058008.947,351442.4215
214,2058110.128,351450.0741
215,2058210.943,351455.6329
216,2060854.733,351615.1928
217,2060751.326,351607.5558
218,2060650.648,351601.7015
219,2064155.158,351720.1924
220,2063228.689,351093.1885
221,2035949.338,350860.2441
222,2058313.143,351460.8098
223,2058415.19,351466.2893
224,2057807.408,351424.3791
225,2057908.353,351433.752
226,2059125.299,351505.9284
227,2059021.559,351499.7676
228,2059432.243,351525.398
229,2059330.31,351518.7002
230,2059227.268,351511.6992
231,2058718.385,351483.0565
232,2058818.486,351487.9093
233,2058921.331,351494.1922
234,2059535.094,351532.6531
235,2059637.809,351538.9431
236,2039664.571,351159.7087
237,2038663.236,351169.0669
238,2056325.353,351070.8093
239,2056420.75,351103.5536
240,2056519.756,351131.5488
241,2056138.859,350993.899
242,2056230.768,351033.4515
243,2060488.4,351766.7701
244,2060589.978,351773.8477
245,2060692.027,351779.4184
246,2060793.789,351785.4257
247,2060838.517,351784.9936
248,2055709.665,350734.352
249,2055783.774,350802.4562
250,2055804.684,350817.007
251,2055870.175,350853.0958
252,2055959.401,350901.5242
253,2056049.113,350949.5595
254,2057203.396,351324.3072
255,2057186.854,351321.0116
256,2057103.168,351301.0537
257,2057005.319,351276.36
258,2057403.939,351365.2948
259,2057302.955,351345.1511
260,2037577.677,350869.6024
261,2057705.356,351411.6345
262,2057604.665,351397.1972
263,2057504.716,351382.7933
264,2056811.279,351221.39
265,2056907.772,351248.6505
266,2035490.783,350551.4213
267,2036042.921,350645.0039
268,2036239.445,350570.1378
269,2036155.22,350551.4213
270,2036679.283,350523.3465
271,2036482.76,350579.4961
272,2037334.362,350691.7953
273,2035443.992,350326.8228
274,2035621.799,350242.5984
275,2035855.756,350120.9409
276,2034508.165,347528.7007
277,2034358.433,347547.4173
278,2034199.342,347631.6417
279,2055286.342,350314.6897
280,2055187.365,350291.3167
281,2055140.187,350285.868
282,2055524.526,350492.5146
283,2055475.178,350427.312
284,2055460.472,350413.8197
285,2055423.363,350388.4545
286,2055385.499,350363.6217
287,2055377.242,350359.2559
288,2036913.24,350485.9134
289,2055536.09,350510.3353
290,2055584.88,350573.6966
291,2055648.156,350655.281
292,2054675.327,350137.7539
293,2054730.303,350190.4598
294,2054790.65,350232.4682
295,2054793.171,350231.382
296,2062115.055,350419.3932
297,2035968.055,349961.8504
298,2054885.115,350266.6153
299,2054983.589,350285.2367
300,2055085.298,350286.2307
301,2061282.17,349988.9129
302,2036005.488,349774.685
303,2035865.114,349596.8779
304,2035724.74,349419.0709
305,2054176.194,349816.6008
306,2054274.371,349836.0346
307,2054375.538,349843.9827
308,2054476.391,349846.1443
309,2054489.533,349846.4284
310,2054534.349,349860.0971
311,2053880.403,349735.7647
312,2053979.233,349764.1484
313,2054078.325,349790.0774
314,2053694.131,349657.2769
315,2053783.942,349703.6725
316,2060131.103,349595.8656
317,2035715.382,349175.7559
318,2053305.876,349328.7059
319,2053374.997,349403.691
320,2053410.078,349439.7554
321,2053449.071,349476.1303
322,2053527.086,349540.9127
323,2053608.407,349600.8044
324,2053174.546,349169.8953
325,2053240.037,349251.1515
326,2058390.465,349099.8774
327,2050155.189,334603.9204
328,2035125.811,347977.8976
329,2034919.929,347669.0748
330,2034760.838,347556.7755
331,2035612.441,348810.7834
332,2053002.79,348923.5909
333,2053003.764,348923.2658
334,2053053.954,349009.7527
335,2053111.344,349091.8765
336,2052908.816,348742.0928
337,2052953.972,348834.1242
